city,district,neighborhood,room,living_room,area,age,floor,price
ankara,yenimahalle,guventepe,2,1,100,16,2,25000
ankara,cankaya,gokkusagi,2,1,95,35,0,23500
istanbul,kucukcekmece,kemalpasa,3,1,125,35,3,23000
istanbul,sariyer,maden,1,1,80,27,0,17000
istanbul,sariyer,buyukdere,2,1,125,13,0,25000
istanbul,sariyer,sariyer_merkez,2,1,100,25,2,32000
istanbul,kagithane,celiktepe,2,1,75,27,0,21000
gaziantep,sehitkamil,alpaslan,3,1,165,3,2,20000
izmir,bayrakli,mansuroglu,3,1,120,30,1,27000
ankara,cankaya,kirkkonaklar,3,1,135,15,1,28000
istanbul,kucukcekmece,atakent,3,1,170,1,3,65000
ankara,cankaya,kazim_ozalp,1,1,65,28,3,29500
istanbul,beykoz,tokatkoy,3,1,135,30,2,25000
istanbul,buyukcekmece,ataturk,2,1,110,1,2,29990
aydin,didim,cumhuriyet,2,1,100,14,3,20000
ankara,altindag,gultepe,3,1,120,15,2,25000
bursa,nilufer,dumlupinar,2,1,75,3,6,22000
bursa,nilufer,30_agustos_zafer,3,1,160,5,2,30000
bursa,nilufer,gorukle,2,1,55,15,3,10500
bursa,nilufer,gorukle,2,1,75,2,3,15500
balikesir,bandirma,17_eylul,2,1,70,16,3,27000
gaziantep,sahinbey,bestepe,1,1,95,7,5,10000
samsun,atakum,korfez,1,1,50,0,4,13500
ankara,golbasi,karsiyaka,2,1,80,0,1,22000
ankara,cankaya,yukari_dikmen,1,1,70,0,0,25000
gaziantep,sahinbey,guneykent,1,1,70,4,4,13750
istanbul,beylikduzu,adnan_kahveci,3,1,160,20,7,30000
ankara,yenimahalle,tepealti,2,1,95,20,1,15500
izmir,karsiyaka,bahcelievler,2,1,110,26,3,33000
tekirdag,suleymanpasa,altinova,2,1,100,0,2,20000
ankara,mamak,balkiraz,3,1,110,30,2,18500
ankara,cankaya,ilkadim,3,1,125,30,0,16000
ankara,kecioren,19_mayis,2,1,100,25,-1,22000
ankara,yenimahalle,kardelen,3,1,140,15,3,43000
ankara,cankaya,asagi_ovecler,1,1,70,5,1,29500
ankara,cankaya,sokullu_mehmet_pasa,3,1,125,28,1,25000
istanbul,beylikduzu,adnan_kahveci,1,1,80,10,3,19997
ankara,cankaya,on_cebeci,2,1,80,35,1,23000
ankara,cankaya,bahcelievler,3,1,130,0,1,42500
istanbul,atasehir,kucukbakkalkoy,2,1,100,30,2,35000
istanbul,tuzla,istasyon,2,1,95,11,0,50000
istanbul,fatih,balat,3,1,95,52,0,41500
istanbul,kadikoy,goztepe,1,1,62,8,1,49250
istanbul,besiktas,etiler,2,1,90,40,6,50000
istanbul,atasehir,ornek,2,1,95,8,1,37000
ankara,cankaya,bahcelievler,1,1,55,4,1,36000
ankara,cankaya,maltepe,2,1,55,0,1,45000
ankara,cankaya,maltepe,1,1,50,0,2,38000
istanbul,kucukcekmece,halkali_merkez,2,1,90,10,1,24000
izmir,buca,akincilar,2,1,85,7,3,25000
kayseri,kocasinan,mithatpasa,3,1,160,0,3,17500
istanbul,uskudar,bahcelievler,2,1,110,0,3,55500
istanbul,adalar,heybeliada,2,1,75,35,0,32500
ankara,cankaya,guzeltepe,1,1,60,0,0,45000
bolu,merkez,izzet_baysal,3,1,125,10,2,25000
antalya,serik,merkez,1,1,55,10,2,16500
konya,selcuklu,kosova,2,1,100,8,3,22000
istanbul,bahcelievler,sirinevler,3,1,150,26,3,30000
ankara,yenimahalle,isinlar,2,1,80,22,1,19500
ankara,cankaya,cukurambar,4,1,200,20,4,55000
hatay,dortyol,ozerli,3,1,135,14,3,23000
ankara,cankaya,mursel_uluc,1,1,55,0,1,31000
ankara,cankaya,nasuh_akar,3,1,120,45,2,28500
ankara,etimesgut,topcu,3,1,140,15,2,27500
adana,seyhan,mithatpasa,3,1,140,0,7,26500
ankara,cankaya,emek,3,1,125,35,5,32000
istanbul,pendik,dogu,2,1,110,8,1,35000
ankara,golbasi,incek,1,1,56,0,1,25750
ankara,cankaya,sehit_cevdet_ozdemir,3,1,135,17,1,38000
istanbul,fatih,koca_mustafapasa,1,1,70,38,2,20000
istanbul,sultanbeyli,battalgazi,2,1,126,5,3,27000
istanbul,tuzla,cami,1,1,80,11,0,35000
istanbul,tuzla,postane,1,1,55,25,0,30000
istanbul,tuzla,istasyon,3,1,120,25,2,26000
ankara,golbasi,incek,1,1,55,2,2,25000
izmir,balcova,fevzi_cakmak,3,1,123,20,3,36000
antalya,alanya,saray,2,1,120,30,2,17000
istanbul,kagithane,yesilce,2,1,69,10,2,31000
van,tusba,beyuzumu,3,1,220,0,3,20000
samsun,ilkadim,liman,3,1,130,26,6,16000
ankara,golbasi,orencik,1,1,60,0,1,20500
kayseri,melikgazi,sakarya,1,1,90,4,0,12500
ankara,cankaya,bahcelievler,3,1,180,25,2,45000
ankara,cankaya,yukari_bahcelievler,3,1,130,40,3,47000
ankara,cankaya,cankaya,4,1,220,40,2,45000
istanbul,uskudar,sultantepe,1,1,70,2,1,35000
istanbul,sisli,izzet_pasa,1,1,50,0,1,20000
istanbul,bakirkoy,atakoy_7_8_9_10_kisim,1,1,76,4,7,50000
istanbul,sisli,duatepe,3,1,130,8,-1,40000
istanbul,beylikduzu,kavakli,2,1,90,2,2,40000
ankara,cubuk,yavuzselim,4,1,175,8,3,18500
ankara,cubuk,barbaros,3,1,145,14,1,18500
ankara,cubuk,cumhuriyet,2,1,95,0,3,18000
ankara,cubuk,cumhuriyet,3,1,135,15,4,14750
ankara,cubuk,yildirim_beyazit,2,1,100,6,2,12500
izmir,narlidere,ilica,2,1,120,25,2,27000
ankara,cankaya,emek,3,1,130,30,2,40000
ankara,cankaya,emek,3,1,110,30,4,35000
ankara,cankaya,emek,3,1,120,35,1,38000
tekirdag,corlu,resadiye,2,1,100,10,1,14000
bolu,merkez,sumer,2,1,80,5,3,20000
ankara,cankaya,emek,4,1,160,30,2,40000
ankara,polatli,mehmet_akif,3,1,130,15,4,20000
ankara,polatli,sehitlik,4,1,145,0,4,35000
ankara,polatli,sentepe,3,1,160,5,5,20000
istanbul,gungoren,mehmet_nesih_ozmen,1,1,120,30,3,25000
ankara,cankaya,guzeltepe,2,1,95,29,1,35000
ankara,cankaya,emek,2,1,95,5,1,50000
ankara,kecioren,karakaya,4,1,170,17,2,17000
ankara,kecioren,karargahtepe,3,1,120,29,1,16000
istanbul,kadikoy,feneryolu,3,1,90,36,0,42000
istanbul,kagithane,caglayan,2,1,90,5,2,35000
izmir,karsiyaka,fikri_altay,3,1,130,13,1,35000
istanbul,sisli,ferikoy,3,1,180,19,4,65000
kirklareli,luleburgaz,siteler,2,1,100,15,3,20000
istanbul,besiktas,dikilitas,2,1,80,35,3,26500
isparta,merkez,baglar,1,1,65,5,2,12000
adana,seyhan,pinar,1,1,75,4,5,20500
istanbul,besiktas,mecidiye,2,1,85,35,3,25000
istanbul,kagithane,seyrantepe,1,1,65,20,0,24000
ankara,yenimahalle,inonu,1,1,55,1,6,38000
ankara,yenimahalle,inonu,1,1,55,1,5,30000
izmir,bornova,erzene,1,1,65,5,5,29500
ankara,cankaya,maltepe,1,1,50,0,-1,32000
ankara,altindag,karapurcek,3,1,120,15,3,17500
isparta,merkez,baglar,3,1,170,18,1,18000
amasya,merkez,hizirpasa,3,1,130,1,3,24000
ankara,cankaya,gaziosmanpasa,3,1,120,35,2,41000
izmir,bornova,kazimdirik,3,1,115,35,2,25000
ankara,cankaya,maltepe,1,1,50,1,2,38000
istanbul,uskudar,barbaros,3,1,145,30,3,57000
ankara,kecioren,osmangazi,3,1,148,6,5,30000
ankara,yenimahalle,avcilar,3,1,150,10,5,26000
eskisehir,tepebasi,bahcelievler,2,1,115,35,2,17500
istanbul,besiktas,etiler,3,1,130,31,4,60000
ankara,cankaya,karapinar,3,1,150,20,1,33000
istanbul,umraniye,camlik,3,1,125,16,8,40000
zonguldak,merkez,yesil,2,1,120,1,6,18500
istanbul,maltepe,aydinevler,2,1,88,11,0,32000
ankara,cankaya,cukurambar,4,1,185,20,3,57500
ankara,mamak,akdere,3,1,100,25,1,16000
istanbul,atasehir,inonu,2,1,90,8,4,32000
balikesir,kepsut,camiicedit,3,1,120,20,1,22000
istanbul,kadikoy,suadiye,1,1,55,0,4,50000
samsun,atakum,korfez,1,1,60,3,5,15000
ankara,etimesgut,yeni_baglica,4,1,180,12,8,50000
amasya,merzifon,mahsen,3,1,140,15,4,18000
eskisehir,tepebasi,zincirlikuyu,3,1,160,5,1,35000
antalya,kepez,yeni_dogan,1,1,40,0,3,20000
burdur,merkez,zafer,1,1,55,2,3,12500
istanbul,bakirkoy,kartaltepe,1,1,55,31,1,32000
samsun,atakum,yenimahalle,3,1,125,10,3,19000
istanbul,bakirkoy,kartaltepe,2,1,75,26,0,32500
izmir,bornova,ataturk,2,1,110,22,2,21500
