"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 3","list-view-header"
"https://www.hepsiemlak.com/ankara-yenimahalle-guventepe-kiralik/daire/63101-154","49","25.000","04-06-2025","2 +
                          1","100 m²","16
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Yenimahalle / Güventepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/star-life-gayrimenkul-63101/omer-duran-1141331","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/1/3/3/1/4/1/1/6a609461-79a9-41b3-9190-596b8d690b91.jpg","Star Lıfe Gayrimenkul","Ömer
          Duran","",""
"https://www.hepsiemlak.com/ankara-cankaya-gokkusagi-kiralik/daire/20743-2227","25","23.500","02-06-2025","2 +
                          1","95 m²","35
                        Yaşında","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Gökkuşağı Mah.","https://www.hepsiemlak.com/emlak-ofisi/arzum-emlak-20743/besim-kardes-20743","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Arzum Emlak","Besim
          Kardeş","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/4/7/0/2/0/0c8dae44-d9d2-44c1-a719-7afd10d7b39a.jpg",""
"https://www.hepsiemlak.com/ankara-cankaya-beytepe-kiralik/daire/88777-252","58","85.000","04-06-2025","4 +
                          1","220 m²","9
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Beytepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/rega-emlak-88777/mahmut-yasar-1758417","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/1/4/8/5/7/1/95498103-c039-4beb-b5c3-fdec4d191681.jpg","Rega Emlak","Mahmut
          Yaşar","",""
"https://www.hepsiemlak.com/istanbul-besiktas-yildiz-kiralik/daire/121012-576","23","115.500","14-05-2025","1 +
                          1","80 m²","Sıfır Bina","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Beşiktaş / Yıldız Mah.","https://www.hepsiemlak.com/emlak-ofisi/fdn-gayrimenkul-real-estate-121012/ummet-fidan-2769229","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/2/0/9/6/0/1/4/1be61fe8-5d4c-450b-9793-5fc3daa27949.jpeg","Fdn Gayrimenkul Real Estate","Ümmet
          Fidan","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/2/2/9/6/7/2/04d271d2-99cf-4e3c-8edf-2bb3bb1e9b14.jpg",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-kemalpasa-kiralik/daire/146033-37","46","23.000","04-05-2025","3 +
                          1","125 m²","35
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Küçükçekmece / Kemalpaşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/etap-pe-146033","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/9/5/4/1/4/5/4/4/1745843982664-44541459.jpg","Etap Pe","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/3/0/6/4/1/a0c36610-2879-4870-8987-72726321c3b4.jpg",""
"https://www.hepsiemlak.com/istanbul-beyoglu-hacimimi-kiralik/daire/104642-2726","48","100.000","29-05-2025","2 +
                          1","90 m²","3
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Beyoğlu / Hacımimi Mah.","https://www.hepsiemlak.com/emlak-ofisi/realtyone-property-management-104642/hasan-aydin-2202440","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/3/2/8/7/1/6/4/4/481f8e74-dcbc-4a04-8992-47cff0fd76eb.jpg","Realtyone Property Management","Hasan
          Aydın","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/4/4/2/0/2/2/53b58480-fbea-42d8-98f7-d5e689a1f92e.jpg",""
"https://www.hepsiemlak.com/istanbul-sariyer-maden-kiralik/daire/136321-644","16","17.000","02-06-2025","1 +
                          1","80 m²","27
                        Yaşında","Giriş Katı","","","","İstanbul / Sarıyer / Maden Mah.","https://www.hepsiemlak.com/emlak-ofisi/aylis-gayrimenkul-136321","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/4/4/0/0/1/4/4/1742635287035-44100442.jpg","Aylis Gayrimenkul","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/2/3/6/3/1/f8deb28f-49ee-4a18-83be-3cf6db0a4acb.jpg",""
"https://www.hepsiemlak.com/istanbul-sariyer-buyukdere-kiralik/daire/136321-666","17","25.000","02-06-2025","2 +
                          1","125 m²","13
                        Yaşında","Giriş Katı","","","","İstanbul / Sarıyer / Büyükdere Mah.","https://www.hepsiemlak.com/emlak-ofisi/aylis-gayrimenkul-136321","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/3/6/0/2/2/4/4/1740039150030-44220632.jpg","Aylis Gayrimenkul","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/2/3/6/3/1/f8deb28f-49ee-4a18-83be-3cf6db0a4acb.jpg",""
"https://www.hepsiemlak.com/istanbul-sariyer-sariyer-merkez-kiralik/daire/136321-692","9","32.000","02-06-2025","2 +
                          1","100 m²","25
                        Yaşında","2. Kat","","","","İstanbul / Sarıyer / Sarıyer Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/aylis-gayrimenkul-136321/ayse-buran-3689229","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/9/1/2/3/7/4/4/1748872547331-44732192.jpg","Aylis Gayrimenkul","Ayşe
          Buran","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/2/2/9/8/6/3/3c91c0fb-9906-43d4-a7cc-e25f11cc20ab.jpg",""
"https://www.hepsiemlak.com/istanbul-kagithane-celiktepe-kiralik/daire/81240-12003","16","21.000","02-06-2025","2 +
                          1","75 m²","27
                        Yaşında","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Kağıthane / Çeliktepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/artum-yapi-gayrimenkul-81240","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/8/0/8/0/5/4/4/03c12340-4974-4956-b8bd-7a39c54ab5a0.jpg","Artum Yapı Gayrimenkul","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/4/2/1/8/0/17a8d46c-7ef2-4c69-b583-9473739d5623.jpg",""
